Entidad,Archivo,Area,PK,Props,Nav
tblcompanies,fundsReceive,Other,idcompany,idcompany:int; companyname:string; companyshortname:string; companyaddress:string; companytelephone:string; companyactive:bool; companyorder:Nullable<int>; idsegment:Nullable<int>; fundsGive:Nullable<bool>; fundsReceive:Nullable<bool>,tblbankaccount; tblbankstatements; tblsegment; tblcompanydevelopment; tblcompanygroupdevelopment; tblcompanygroupdevelopment1; tblcompaniesuppliers; tblexpensereportsourcedata
tblcurrencyexchange,currencyexchangedate,Other,idcurrencyexchange,idcurrencyexchange:int; currencyexchangefrom:int; currencyexchangeto:int; currencyexchangerate:decimal; currencyexchangedate:System.DateTime,
tblaccountsl3,accountl3order,Other,idaccountl3,idaccountl3:int; idaccountl2:int; accountl3name:string; accountl3description:string; accountl3active:Nullable<bool>; accountl3order:int,tblaccountsl2; tblprofaccclass3; tblaccountsl4
tblbankstat2reserv,idBankStatements2,Bancos,idBankStat2Reserv,idBankStat2Reserv:long; idReservationPayment:int; idBankStatements2:long,tblreservationspayment; tblbankstatements2
tblbugettype,budgettypeactive,Other,idbudgettype,idbudgettype:int; budgettypename:string; budgettypedescription:string; budgettypeorder:int; budgettypeactive:bool,tblinvoiceditem
tblextgroupcompanies,externalgroupcompanyActive,Other,IdExtGroupCompanies,IdExtGroupCompanies:int; idCompany:int; IdExternalGroup:int; externalgroupcompanyActive:bool,tblcompanies; tblexternalgroup
tblprefixes,PartnerPrice,Other,idPrefix,idPrefix:int; idHotelChain:int; prefixAbbrev:string; prefixUsesHiphen:bool; prefixDigitPositions:int; prefixActive:bool; prefixAlt:string; websiteAccessAllowed:Nullable<bool>; PartnerPrice:Nullable<decimal>,tblbatchdetailpre
tblincomeitemLog,incomedescription,Facturacion/Ingresos,idincomeitem,LogId:int; LogDate:Nullable<System.DateTime>; LogUser:Nullable<int>; LogObs:string; idincomeitem:long; idincome:long; idaccountl4:int; idincomeitemstatus:int; iduser:int; incomeitemdate:System.DateTime; incomeitemsubtotal:decimal; incomedescription:string,
tblinvoiceditem,itemupdateon,Facturacion/Ingresos,idinvoiceitem,idinvoiceitem:long; idinvoice:long; iduser:int; idaccountl4:int; idinvoiceitemstatus:int; idbudgettype:int; idsupplier:int; itemsubtotal:Nullable<decimal>; itemdescription:string; ditemistax:bool; itemtax:decimal; itemidentifier:string,tblaccountsl4; tblbugettype; tblinvoice; tblinvoiceitemstatus; tblSuppliers; tblusers
tblbankstat2invoice,idBankStatements2,Facturacion/Ingresos,idBankStat2Invoice,idBankStat2Invoice:long; idpayment:long; idBankStatements2:long,tblpayment; tblbankstatements2
tblSuppliers,supplierActive,Other,idSupplier,idSupplier:int; supplierName:string; supplierOrder:Nullable<int>; supplierHasAccounts:bool; supplierActive:bool,tblreservations; tblreservationsparent; tblcompaniesuppliers; tblinvoiceditem
tblexternalgroup,externalgroupActive,Other,IdExternalGroup,IdExternalGroup:int; externalgroupName:string; externalgroupShortName:string; externalgroupActive:bool,tblextgroupcompanies
tbloperationtype,operationTypeName,Other,idOperationType,idOperationType:int; operationTypeName:string,tblmovementtype
tblbankstat2parentreserv,idBankStatements2,Bancos,idBankStat2ParentReserv,idBankStat2ParentReserv:long; idReservationParentPayment:int; idBankStatements2:long,tblreservationsparentpayment; tblbankstatements2
tblmovementtype,idOperationType,Other,idMovementType,idMovementType:int; movementTypeName:string; movementTypeActive:bool; idOperationType:int,tbloperationtype; tblbankstatements2
tblprofaccclass3,profaccclassdatelastchange,Other,idprofaccclass3,idprofaccclass3:int; idaccountl3:int; idprofileaccount:int; profaccclassuserlastchange:int; profaccclassdatelastchange:Nullable<System.DateTime>,tblaccountsl3; tblprofilesaccounts
tblbankstatements,bankStatementsAuthCode,Bancos,idBankStatements,idBankStatements:long; idBAccount:int; idTPV:int; idCompany:int; idBankStatementMethod:Nullable<int>; bankstatementAplicationDate:System.DateTime; bankstatementAppliedAmmount:decimal; bankstatementBankFee:Nullable<decimal>; bankstatementAppliedAmmountFinal:Nullable<decimal>; bankStatementsTC:string; bankStatementsAuthCode:string,tblbankaccount; tblbankstateincome; tblbankstatementmethod; tblcompanies; tbltpv; tblbankstatementsdet; tblbankstateparentreserv; tblbankstatepurchase
tblinvoiceitemstatus,invoicestatusactive,Facturacion/Ingresos,idinvoiceItemstatus,idinvoiceItemstatus:int; invoicestatusname:string; invoicestatusshortname:string; invoicestatusactive:Nullable<bool>,tblincomeitem; tblinvoiceditem
tblincome,incometupdateon,Facturacion/Ingresos,idincome,idincome:long; idcompany:int; idcurrency:int; incomeapplicationdate:System.DateTime; incomenumber:int; incomecreatedby:int; incomecreactiondate:System.DateTime; incomeupdatedby:int; incometupdateon:System.DateTime,tblcompanies; tblincomecomments; tblincomeitem; tblincomeattach; tblincomemovement; tblcurrencies; tblusers; tblusers1
tbluserbacount,userbacountactive,Usuarios/Empresas,iduserbacount,iduserbacount:int; iduser:int; idbaccount:int; userbacountcreatedby:int; userbacountcreationdate:System.DateTime; userbacountactive:bool,tblbankaccount; tblusers
